id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000"
52,print-position-1,"Engraving 7XL",l7xl-2,"8,10","8,10","8,10","8,10","8,10","8,10","8,10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,print-position-1,"Engraving or Tampo11",engraving-or-tampo11,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,print-position-1,"Tampo Print 9",tampo9,"5,60","5,60","5,60","5,60","5,60","5,60","5,60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,print-position-2,"1 Extra LED Colour (10000)",1-extra-led-colour-10000,15,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,print-position-2,"1 Färg (194)",194-sv,,1.50,1.25,1.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,print-position-2,"1 Färg (7002)",7002-sv,,6,4,3.50,3.50,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,print-position-2,"1 Färg eller gravyr (260-1b)",260-1b-sv,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,print-position-2,"1 färg eller gravyr (261-2b)",261-2b-sv,,2.50,1.50,1.50,1.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,print-position-2,"2 färger (195)",195-sv,"4,50",4,2.50,2.30,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,print-position-2,"2 färger (209-12-2L)",209-12-2l-sv,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,print-position-2,"2 färger (264-10S)",264-10s-sv,,4,"3,50","2,5",2,"1,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
