Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,print-position-2,packaging,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,version,certifikat,"original-64 GB-50","original-64 GB-100","original-64 GB-250","original-64 GB-500","original-64 GB-1000","original-64 GB-2500","original-64 GB-5000","original-128 GB-50","original-128 GB-100","original-128 GB-250","original-128 GB-500","original-128 GB-1000","original-128 GB-2500","original-128 GB-5000","original-256 GB-50","original-256 GB-100","original-256 GB-250","original-256 GB-500","original-256 GB-1000","original-256 GB-2500","original-256 GB-5000","original-512 GB-50","original-512 GB-100","original-512 GB-250","original-512 GB-500","original-512 GB-1000","original-512 GB-2500","original-512 GB-5000",original-1TB-50,original-1TB-100,original-1TB-250,original-1TB-500,original-1TB-1000,original-1TB-2500,original-1TB-5000,"original-4 GB-50","original-4 GB-100","original-4 GB-250","original-4 GB-500","original-4 GB-1000","original-4 GB-2500","original-4 GB-5000","original-8 GB-50","original-8 GB-100","original-8 GB-250","original-8 GB-500","original-8 GB-1000","original-8 GB-2500","original-8 GB-5000","original-16 GB-50","original-16 GB-100","original-16 GB-250","original-16 GB-500","original-16 GB-1000","original-16 GB-2500","original-16 GB-5000","original-32 GB-50","original-32 GB-100","original-32 GB-250","original-32 GB-500","original-32 GB-1000","original-32 GB-2500","original-32 GB-5000",accessories,"oem-tlc-1 GB-50","oem-tlc-1 GB-100","oem-tlc-1 GB-250","oem-tlc-1 GB-500","oem-tlc-1 GB-1000","oem-tlc-1 GB-2500","oem-tlc-1 GB-5000","oem-tlc-2 GB-50","oem-tlc-2 GB-100","oem-tlc-2 GB-250","oem-tlc-2 GB-500","oem-tlc-2 GB-1000","oem-tlc-2 GB-2500","oem-tlc-2 GB-5000","oem-tlc-4 GB-50","oem-tlc-4 GB-100","oem-tlc-4 GB-250","oem-tlc-4 GB-500","oem-tlc-4 GB-1000","oem-tlc-4 GB-2500","oem-tlc-4 GB-5000","oem-tlc-8 GB-50","oem-tlc-8 GB-100","oem-tlc-8 GB-250","oem-tlc-8 GB-500","oem-tlc-8 GB-1000","oem-tlc-8 GB-2500","oem-tlc-8 GB-5000","oem-tlc-16 GB-50","oem-tlc-16 GB-100","oem-tlc-16 GB-250","oem-tlc-16 GB-500","oem-tlc-16 GB-1000","oem-tlc-16 GB-2500","oem-tlc-16 GB-5000","oem-tlc-32 GB-50","oem-tlc-32 GB-100","oem-tlc-32 GB-250","oem-tlc-32 GB-500","oem-tlc-32 GB-1000","oem-tlc-32 GB-2500","oem-tlc-32 GB-5000","oem-tlc-64 GB-50","oem-tlc-64 GB-100","oem-tlc-64 GB-250","oem-tlc-64 GB-500","oem-tlc-64 GB-1000","oem-tlc-64 GB-2500","oem-tlc-64 GB-5000","oem_mlc-1 GB-50","oem_mlc-1 GB-100","oem_mlc-1 GB-250","oem_mlc-1 GB-500","oem_mlc-1 GB-1000","oem_mlc-1 GB-2500","oem_mlc-1 GB-5000","oem_mlc-2 GB-50","oem_mlc-2 GB-100","oem_mlc-2 GB-250","oem_mlc-2 GB-500","oem_mlc-2 GB-1000","oem_mlc-2 GB-2500","oem_mlc-2 GB-5000","oem_mlc-4 GB-50","oem_mlc-4 GB-100","oem_mlc-4 GB-250","oem_mlc-4 GB-500","oem_mlc-4 GB-1000","oem_mlc-4 GB-2500","oem_mlc-4 GB-5000","oem_mlc-8 GB-50","oem_mlc-8 GB-100","oem_mlc-8 GB-250","oem_mlc-8 GB-500","oem_mlc-8 GB-1000","oem_mlc-8 GB-2500","oem_mlc-8 GB-5000","oem_mlc-16 GB-50","oem_mlc-16 GB-100","oem_mlc-16 GB-250","oem_mlc-16 GB-500","oem_mlc-16 GB-1000","oem_mlc-16 GB-2500","oem_mlc-16 GB-5000","oem_mlc-32 GB-50","oem_mlc-32 GB-100","oem_mlc-32 GB-250","oem_mlc-32 GB-500","oem_mlc-32 GB-1000","oem_mlc-32 GB-2500","oem_mlc-32 GB-5000","oem_mlc-64 GB-50","oem_mlc-64 GB-100","oem_mlc-64 GB-250","oem_mlc-64 GB-500","oem_mlc-64 GB-1000","oem_mlc-64 GB-2500","oem_mlc-64 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000"
32,"Twist wood USB",20050,"Världens mest sålda USB minne i en miljövänlig variant! Med eller utan nyckelring.","Världens mest sålda USB minne i en miljövänlig variant! Med eller utan nyckelring.",20050,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b9ce0ce.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ba72c58.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bb205f9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bbb5913.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b936f8d.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-Wood-Pictures.zip"">Twist Wood Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-Wood-Simulation-20150123.pdf"">Twist Wood Simulation 20150123</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,261-2b-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,750-sv,453-sv,452-sv,456-sv","100 st",8523511000,"Ljusbrun, mörkbrun, rosefärgad",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
33,"Twist doming USB",10119,"Twist, världens mest sålda USB-modell! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Varför inte låta göra modellen i din egen pms? Snygg och exklusiv doming fäst på metallklippet ingår.","Twist, världens mest sålda USB-modell! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Varför inte låta göra modellen i din egen pms? Snygg och exklusiv doming fäst på metallklippet ingår.",10119,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b62803c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b6bb72e.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b760968.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b810db8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b89ef7c.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7b5927a8.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-Doming-Pictures.zip"">Twist Doming Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-Doming-Simulation-20140811.pdf"">Twist Doming Simulation 20140811</a>",,760-sv,261-2b-sv,"556-sv,411-sv,454-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,116,115,112,109,107,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,50,49,48,47,46,45,0.0,54,53,52,51,50,49,0.0,56,55,54,53,52,51,0.0,87,86,84,82,80,78,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,43,42,41,40,39,38,0.0,44,43,42,41,40,39,0.0,53,52,51,50,49,48,0.0,73,71,70,69,68,67,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,46,45,44,43,42,41,0.0,48,47,46,45,44,43,0.0,49,48,47,46,45,44,0.0,59,58,57,56,54,53,0.0,79,78,76,74,73,71,0.0,48,47,46,45,44,43,0.0,49,48,47,46,45,44
34,"Nano clip USB",10219,"USB minne och gem i en och samma produkt! Den lätta vikten och dess smidighet har gjort denna modell populär. Fästes på tex visitkort, konferensblock eller offerter. Levereras med mobilstring.","USB minne och gem i en och samma produkt! Den lätta vikten och dess smidighet har gjort denna modell populär. Fästes på tex visitkort, konferensblock eller offerter. Levereras med mobilstring.",10219,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77d68ea2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Nano-Clip-2.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77c491bf.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Nano-Clip-Pictures.zip"" target=""_blank"" rel=""noopener"">Nano Clip Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Nano-Clip-Simulation-20140822.pdf"">Nano Clip Simulation 20140822</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Vit, svart, blå, röd",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,32,31,30,29,28,27,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,33,32,31,30,29,28,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
35,"Mini USB",20060,"Tufft litet USB minne. Som mobilsmycke eller varför inte i nyckelringen? Lämpar sig utmärkt både till tryck och gravyr.","Tufft litet USB minne. Som mobilsmycke eller varför inte i nyckelringen? Lämpar sig utmärkt både till tryck och gravyr.",20060,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77a7a371.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77b16744.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77bab0c5.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b779d7e3a.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Mini-Pictures.zip"">Mini Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Mini-Simulation-20150917_art-no-20060-1.pdf"">Mini Simulation 20150917_art no 20060</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,32,31,30,29,28,27,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,33,32,31,30,29,28,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
36,"Metal USB",10014,"Ett smakfullt USB minne i borstad metall. Modern design och stil. Välj mellan silver- eller svart yta. Lämplig både med screentryck, gravyr eller varför inte med fullfärgstryck!","Ett smakfullt USB minne i borstad metall. Modern design och stil. Välj mellan silver- eller svart yta. Lämplig både med screentryck, gravyr eller varför inte med fullfärgstryck!",10014,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7749f137.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77546e14.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b775df3a8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77662de5.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7740a155.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Metal-Pictures.zip"">Metal Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Metal-Simulation-20140828-art-no-10014.pdf"">Metal Simulation 20140828 art no 10014</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Silver, svart",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,48,47,46,45,44,43,0.0,50,49,48,47,46,45,0.0,81,80,78,76,75,73,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,47,46,45,44,43,42,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,42,41,40,39,38,37,0.0,43,42,41,40,39,38,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
37,"Magellan USB",11234,"Minne med twist-funktion. Smidigt twistas chipet ut. Mindre modell men med bra märkyta.","Minne med twist-funktion. Smidigt twistas chipet ut. Mindre modell men med bra märkyta.",11234,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7725573c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b772e8d84.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b773774d5.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b771be76b.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Magellan-Pictures.zip"">Magellan Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Magellan-Simulation-20150916.pdf"">Magellan Simulation 20150916</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","454-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,32,31,30,29,28,27,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,33,32,31,30,29,28,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
38,"Leather cap USB",11231,"Vackert och slittåligt PUläder. Avtagbar hatt vilket ger en smidighet när minnet kopplas till datorn. Lämplig både med tryckt eller präglad logga.","Vackert och slittåligt PUläder. Avtagbar hatt vilket ger en smidighet när minnet kopplas till datorn. Lämplig både med tryckt eller präglad logga.",11231,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76f11964.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76f94b0f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b770306c2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b770b1148.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b77139332.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76e8552b.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Leather-Cap-Pictures.zip"">Leather Cap Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Leather-USB.pdf"">Leather USB</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,"Brun, svart",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,-,-,-,-,-,-,-,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
39,"Leather USB",20017,"Konstläder och stål i en vacker kombination. Ett USB minne med stil och elegans. Lika snyggt med tryckt som med präglad logga.","Konstläder och stål i en vacker kombination. Ett USB minne med stil och elegans. Lika snyggt med tryckt som med präglad logga.",20017,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76cad7e9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76d528ce.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76de71e4.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76c01b88.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Leather-Pictures.zip"">Leather Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Leather-USB.pdf"">Leather USB</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,"Brun, Svart",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
40,"Bling USB",10103,"USB minne med optimal tryckyta. Med kromade detaljer och en silkeslen gummerad yta.","USB minne med optimal tryckyta. Med kromade detaljer och en silkeslen gummerad yta.",10103,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b763e9540.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b764882f2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7651c8e8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b765c04e8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76654a17.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76354bac.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Bling-Pictures.zip"" target=""_blank"" rel=""noopener"">Bling Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Bling-Simulation_Art-no-10103_SIM.pdf"">Bling Simulation_Art no 10103_SIM</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,457-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,107,105,103,100,99,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,45,44,43,42,41,40,0.0,47,46,45,44,43,42,0.0,78,77,75,73,72,70,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,44,43,42,41,40,39,0.0,64,63,62,61,60,59,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,0.0,70,69,68,65,64,63,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34
41,"Mini slim card USB",12116,"USB designat som ett kreditkort modell mini men med stor tryckyta. Passar utmärkt i plånboken! Med ett enkelt klick får du fram USB kontakten!","USB designat som ett kreditkort modell mini men med stor tryckyta. Passar utmärkt i plånboken! Med ett enkelt klick får du fram USB kontakten!",12116,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b760ca1c9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7616b96b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7620f707.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b762aa4d2.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7602c094.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Mini-Slim-Card-Pictures.zip"">Mini Slim Card Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Mini-Slim-Card-Simulation-20151120.pdf"">Mini Slim Card Simulation 20151120</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,"Vit, svart",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,37,36,35,34,33,32,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25
42,"String USB",20074,"Visa att du tänker på miljön! Minne i bambu eller trä med logoband i läder!","Visa att du tänker på miljön! Minne i bambu eller trä med logoband i läder!",20074,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b75eed293.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b75f8fcb8.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b75e5d69e.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/String-Pictures.zip"">String Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/String-Simulation-20150507.pdf"">String Simulation 20150507</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,260-1b-sv,195-sv,196-sv,197-sv,199-sv","750-sv,453-sv,452-sv,456-sv,455-sv","100 st",8523511000,"Ljusbrun ,mörkbrun, rosenfärgad",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,48,47,46,45,44,43,0.0,50,49,48,47,46,45,0.0,81,80,78,76,75,73,-,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,47,46,45,44,43,42,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,42,41,40,39,38,37,0.0,43,42,41,40,39,38,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
